Location,length_of_encounter_seconds,country,state,city,UFO_shape_changing,UFO_shape_chevron,UFO_shape_cigar,UFO_shape_circle,UFO_shape_cone,UFO_shape_cross,UFO_shape_cylinder,UFO_shape_diamond,UFO_shape_disk,UFO_shape_egg,UFO_shape_fireball,UFO_shape_flash,UFO_shape_formation,UFO_shape_light,UFO_shape_other,UFO_shape_oval,UFO_shape_rectangle,UFO_shape_sphere,UFO_shape_teardrop,UFO_shape_triangle,UFO_shape_unknown,city_class_Other,city_class_Unknown,city_class_chicago,city_class_lancaster,city_class_las vegas,city_class_los angeles,city_class_orlando,city_class_paradise,city_class_phoenix,city_class_richmond,city_class_san antonio,city_class_san diego,city_class_seattle,city_class_st. louis,city_class_tucson,city_class_wilmington
gb | Unknown | leicester (uk/england),60.0,gb,Unknown,leicester (uk/england),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | wa | spokane,180.0,us,wa,spokane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gb | Unknown | colchester (uk/england),420.0,gb,Unknown,colchester (uk/england),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | pa | norristown,3600.0,us,pa,norristown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | mi | troy,5.0,us,mi,troy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | ny | accord,1200.0,us,ny,accord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | ga | cumming,2.0,us,ga,cumming,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | wv | hedgesville,14400.0,us,wv,hedgesville,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | ar | heber springs,600.0,us,ar,heber springs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | wa | university place,300.0,us,wa,university place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | wa | bellevue,1800.0,us,wa,bellevue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | nj | pemberton,900.0,us,nj,pemberton,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown | Unknown | Unknown,45.0,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | az | nogales,60.0,us,az,nogales,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | ca | paradise,240.0,us,ca,paradise,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
us | ma | fall river,8.0,us,ma,fall river,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | ma | burlington,10.0,us,ma,burlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us | ca | san jose,300.0,us,ca,san jose,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown | Unknown | Unknown,180.0,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
