network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,attack_detected,protocol_type_ICMP,protocol_type_TCP,protocol_type_UDP,encryption_used_AES,encryption_used_DES,encryption_used_None,browser_type_Chrome,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown
599,4,492.9832634,0.60681808,1,0,1,0,1,0,0,1,0,0,1,0,0,0
472,3,1557.996461,0.301568968,0,0,0,0,1,0,0,1,0,0,0,1,0,0
629,3,75.04426166,0.739164328,2,0,1,0,1,0,0,1,0,1,0,0,0,0
804,4,601.2488352,0.123267176,0,0,1,0,0,1,0,1,0,0,0,0,0,1
453,5,532.5408884,0.054873857,1,0,0,0,1,0,1,0,0,0,0,1,0,0
453,5,380.4715502,0.422485861,2,1,0,0,0,1,1,0,0,1,0,0,0,0
815,4,728.1071647,0.413771929,1,0,1,1,0,0,1,0,0,1,0,0,0,0
653,3,12.59990601,0.097719366,3,1,1,0,1,0,0,1,0,1,0,0,0,0
406,2,542.5588952,0.294579688,0,1,0,0,1,0,0,0,1,1,0,0,0,0
608,6,531.9441066,0.424116564,1,0,0,0,0,1,0,0,1,1,0,0,0,0
407,6,580.7219254,0.122893739,3,0,1,0,0,1,0,1,0,0,0,1,0,0
406,9,191.0528369,0.339711271,1,0,1,0,0,1,0,1,0,0,1,0,0,0
548,2,186.1476383,0.406898633,2,1,0,0,1,0,0,0,1,0,0,0,1,0
117,4,833.4889649,0.473291905,2,0,1,0,1,0,0,1,0,0,0,0,0,1
155,3,77.84995157,0.352475575,3,0,1,0,1,0,0,0,1,1,0,0,0,0
387,6,292.136196,0.254912451,3,0,1,1,0,0,0,1,0,1,0,0,0,0
297,8,1421.414372,0.345367552,3,0,1,0,1,0,1,0,0,0,0,1,0,0
562,1,87.64100169,0.13672919,2,0,0,0,0,1,0,0,1,0,0,1,0,0
318,5,504.98867,0.394231457,1,0,1,0,1,0,1,0,0,0,0,0,0,1
217,2,883.6175678,0.310113157,0,0,0,1,0,0,0,1,0,1,0,0,0,0
793,3,122.1894142,0.369324649,2,0,0,0,1,0,1,0,0,0,0,1,0,0
454,1,299.711548,0.373874592,1,0,0,0,1,0,0,0,1,1,0,0,0,0
513,3,654.5261426,0.497029544,1,0,0,0,1,0,1,0,0,0,0,1,0,0
215,8,317.0788581,0.461950842,2,0,1,0,1,0,1,0,0,1,0,0,0,0
391,5,93.171125,0.536245189,2,0,0,0,1,0,1,0,0,0,0,1,0,0
522,4,211.5958425,0.107898558,3,0,1,0,1,0,1,0,0,0,0,1,0,0
269,9,92.70169297,0.506819426,0,0,1,0,1,0,0,0,1,1,0,0,0,0
575,3,3286.221728,0.420471185,0,0,0,0,1,0,0,1,0,1,0,0,0,0
379,2,214.9821223,0.786315444,2,0,1,0,0,1,1,0,0,1,0,0,0,0
441,7,604.9615523,0.336031848,0,0,1,0,1,0,1,0,0,0,0,1,0,0
379,1,447.6233073,0.099389819,0,0,0,0,1,0,0,1,0,1,0,0,0,0
870,2,674.2716308,0.272086841,1,0,1,0,0,1,0,1,0,1,0,0,0,0
497,1,551.469339,0.035139253,1,1,0,0,1,0,0,0,1,1,0,0,0,0
288,2,1039.101186,0.110269439,3,0,1,1,0,0,1,0,0,1,0,0,0,0
664,6,1650.942099,0.391544209,2,1,0,0,1,0,0,0,1,1,0,0,0,0
255,2,268.713238,0.517336177,1,1,0,0,1,0,1,0,0,1,0,0,0,0
541,5,162.2873081,0.137975823,2,0,0,0,1,0,0,0,1,1,0,0,0,0
108,7,3325.308689,0.079509322,2,0,1,0,1,0,1,0,0,0,0,1,0,0
234,5,1608.365097,0.64590426,4,0,1,0,1,0,0,1,0,0,0,1,0,0
539,4,361.9425946,0.30878996,0,0,0,0,1,0,0,1,0,1,0,0,0,0
647,2,1801.413259,0.299184039,1,0,0,0,1,0,0,0,1,1,0,0,0,0
534,4,888.2555882,0.036752136,3,0,1,0,1,0,1,0,0,1,0,0,0,0
476,4,460.1784563,0.397419462,2,0,0,0,1,0,0,1,0,0,1,0,0,0
439,5,1653.516944,0.245313115,2,0,0,0,1,0,0,0,1,1,0,0,0,0
204,4,899.840303,0.33732114,1,0,0,0,1,0,0,1,0,1,0,0,0,0
356,2,1401.037266,0.672976828,1,0,1,0,1,0,0,1,0,1,0,0,0,0
407,7,432.697683,0.081769711,3,1,1,0,1,0,0,1,0,0,1,0,0,0
711,5,1282.428571,0.207445484,2,0,1,0,1,0,1,0,0,0,1,0,0,0
568,6,365.7355549,0.534368332,2,0,1,0,1,0,1,0,0,0,0,0,0,1
147,1,1062.65915,0.263372632,1,0,0,0,1,0,1,0,0,0,1,0,0,0
564,2,457.4952009,0.219704732,1,1,0,0,1,0,0,0,1,0,1,0,0,0
422,5,415.6167951,0.466324168,1,0,0,0,1,0,1,0,0,1,0,0,0,0
364,5,1274.194239,0.870833689,2,0,1,0,1,0,1,0,0,0,0,1,0,0
622,6,106.8587436,0.32988897,1,1,1,0,1,0,0,0,1,0,0,1,0,0
706,4,2107.197167,0.465856259,2,1,0,0,1,0,0,1,0,0,1,0,0,0
686,3,568.5288982,0.613643254,1,0,1,0,1,0,0,1,0,0,0,1,0,0
332,2,808.6446595,0.174245482,2,0,0,0,1,0,1,0,0,1,0,0,0,0
438,4,415.7067631,0.217234637,1,0,0,0,1,0,0,1,0,1,0,0,0,0
566,5,830.4834648,0.602850193,1,0,1,0,0,1,0,1,0,0,0,1,0,0
695,1,989.8897961,0.259418552,2,0,1,0,0,1,1,0,0,0,1,0,0,0
404,9,1622.860871,0.23567555,2,0,1,0,1,0,0,1,0,1,0,0,0,0
462,5,1541.39677,0.040019183,2,0,0,0,1,0,1,0,0,1,0,0,0,0
278,8,354.3027102,0.511602646,2,0,1,0,1,0,1,0,0,0,1,0,0,0
260,6,765.383721,0.540234287,1,0,0,0,0,1,1,0,0,1,0,0,0,0
662,3,1213.404212,0.454412186,1,0,0,0,1,0,0,0,1,0,0,0,1,0
771,6,1158.071232,0.135778505,2,1,0,1,0,0,0,0,1,1,0,0,0,0
485,5,1772.622948,0.436298742,2,0,0,0,1,0,0,0,1,1,0,0,0,0
700,6,1426.764225,0.199766631,4,0,1,0,1,0,0,1,0,1,0,0,0,0
572,10,1012.269951,0.164457348,1,0,1,0,1,0,0,1,0,1,0,0,0,0
370,1,1105.380602,0.408653717,2,0,1,0,1,0,1,0,0,1,0,0,0,0
572,6,1317.893595,0.205391788,0,0,0,0,1,0,1,0,0,0,1,0,0,0
807,3,1455.57678,0.627154755,0,0,1,0,1,0,1,0,0,0,0,0,0,1
492,4,347.9180542,0.263864328,1,0,1,0,1,0,1,0,0,0,1,0,0,0
812,7,1217.91392,0.651720998,2,0,1,0,0,1,0,1,0,1,0,0,0,0
64,6,2384.028669,0.512511543,1,0,0,0,1,0,0,0,1,1,0,0,0,0
664,3,212.1765961,0.105560286,0,0,0,0,1,0,0,0,1,1,0,0,0,0
517,5,39.54966375,0.336033753,1,0,1,0,1,0,0,1,0,0,1,0,0,0
440,5,60.12054049,0.346652348,1,0,0,0,0,1,0,1,0,1,0,0,0,0
518,7,195.4101799,0.447208836,0,0,1,0,0,1,1,0,0,1,0,0,0,0
102,3,2018.489323,0.20807832,2,0,0,0,1,0,0,0,1,0,1,0,0,0
456,5,108.4689356,0.10976251,2,0,0,0,1,0,0,1,0,0,0,1,0,0
